Source,ProductTypeDes,Target,Volume
Asia,Machinery and transport equipment,Africa,60340821316
Asia,Machinery and transport equipment,Asia,1217145903089
Asia,Machinery and transport equipment,Australia and New Zealand,55059448090
Asia,Machinery and transport equipment,Brazil,21756731007
Asia,Machinery and transport equipment,China,252795711979
Asia,Machinery and transport equipment,Commonwealth of Independent States (CIS),32188927905
Asia,Machinery and transport equipment,Europe,387840228504
Asia,Machinery and transport equipment,European Union (28),359120661694
Asia,Machinery and transport equipment,Four East Asian traders,432710708347
Asia,Machinery and transport equipment,India,45552879693
Asia,Machinery and transport equipment,Japan,135897002651
Asia,Machinery and transport equipment,Mexico,38795148161
Asia,Machinery and transport equipment,Middle East,107142352796
Asia,Machinery and transport equipment,North America,545713503884
Asia,Machinery and transport equipment,Other Africa,47146471352
Asia,Machinery and transport equipment,Other Asia,295130152329
Asia,Machinery and transport equipment,Other CIS (CIS11),10546682100
Asia,Machinery and transport equipment,Other Europe,28719566810
Asia,Machinery and transport equipment,Russian Federation,21642245805
Asia,Machinery and transport equipment,South Africa,13194349963
Asia,Machinery and transport equipment,South and Central America,69961000784
Asia,Machinery and transport equipment,United States,474243521537
Asia,Automotive products,Africa,13979530849
Asia,Automotive products,Asia,93748606510
Asia,Automotive products,Australia and New Zealand,17042825788
Asia,Automotive products,Brazil,3650241095
Asia,Automotive products,China,19588797772
Asia,Automotive products,Commonwealth of Independent States (CIS),8714027104
Asia,Automotive products,Europe,40209788463
Asia,Automotive products,European Union (28),36209027405
Asia,Automotive products,Four East Asian traders,8406603832
Asia,Automotive products,India,3401018252
Asia,Automotive products,Japan,7845129571
Asia,Automotive products,Mexico,8879077136
Asia,Automotive products,Middle East,38377397619
Asia,Automotive products,North America,104552141906
Asia,Automotive products,Other Africa,9553250604
Asia,Automotive products,Other Asia,37464231294
Asia,Automotive products,Other CIS (CIS11),2275991804
Asia,Automotive products,Other Europe,4000761058
Asia,Automotive products,Russian Federation,6438035300
Asia,Automotive products,South Africa,4426280245
Asia,Automotive products,South and Central America,17558251469
Asia,Automotive products,United States,87987160826
Asia,Other transport equipment,Africa,8509126074
Asia,Other transport equipment,Asia,77826619919
