Source,Target,Volume
Asia,Africa,15700026605
Asia,Asia,264635078237
Asia,Australia and New Zealand,10042800996
Asia,Brazil,6565791335
Asia,China,81219855607
Asia,Commonwealth of Independent States (CIS),5586316229
Asia,Europe,60278491592
Asia,European Union (28),52333524940
Asia,Four East Asian traders,49571995959
Asia,India,22635630171
Asia,Japan,23284294567
Asia,Mexico,4242522124
Asia,Middle East,13154668745
Asia,North America,51236334955
Asia,Other Africa,12886654159
Asia,Other Asia,77880500938
Asia,Other CIS (CIS11),1954461286
Asia,Other Europe,7944966653
Asia,Russian Federation,3631854944
Asia,South Africa,2813372446
Asia,South and Central America,17526497099
Asia,United States,44092273670
Asia,Africa,4252025495
Asia,Asia,15123617983
Asia,Australia and New Zealand,1656084654
Asia,Brazil,866758045
Asia,China,2099410114
Asia,Commonwealth of Independent States (CIS),872554002
Asia,Europe,11860578659
Asia,European Union (28),10259529098
Asia,Four East Asian traders,2264203661
Asia,India,1625867115
Asia,Japan,2034599288
Asia,Mexico,369713839
Asia,Middle East,973654235
Asia,North America,11126002392
Asia,Other Africa,3647582761
Asia,Other Asia,5443453151
Asia,Other CIS (CIS11),357020545
Asia,Other Europe,1601049561
Asia,Russian Federation,515533457
Asia,South Africa,604442734
Asia,South and Central America,2109278549
Asia,United States,10256841804
Asia,Africa,11448001110
Asia,Asia,249511460254
Asia,Australia and New Zealand,8386716342
Asia,Brazil,5699033290
Asia,China,79120445492
Asia,Commonwealth of Independent States (CIS),4713762228
Asia,Europe,48417912934
Asia,European Union (28),42073995842
Asia,Four East Asian traders,47307792298
Asia,India,21009763056
Asia,Japan,21249695279
Asia,Mexico,3872808286
Asia,Middle East,12181014511
Asia,North America,40110332564
Asia,Other Africa,9239071398
Asia,Other Asia,72437047786
Asia,Other CIS (CIS11),1597440741
Asia,Other Europe,6343917092
Asia,Russian Federation,3116321487
Asia,South Africa,2208929712
Asia,South and Central America,15417218550
Asia,United States,33835431865
Australia and New Zealand,Africa,95862869
Australia and New Zealand,Asia,4777395777
Australia and New Zealand,Australia and New Zealand,1158928042
Australia and New Zealand,Brazil,59692201
Australia and New Zealand,China,780892443
Australia and New Zealand,Commonwealth of Independent States (CIS),34674801
Australia and New Zealand,Europe,949545325
Australia and New Zealand,European Union (28),844406835
Australia and New Zealand,Four East Asian traders,849218292
Australia and New Zealand,India,125503354
Australia and New Zealand,Japan,459664997
Australia and New Zealand,Mexico,99644262
Australia and New Zealand,Middle East,189798010
Australia and New Zealand,North America,1385351243
Australia and New Zealand,Other Africa,39596205
Australia and New Zealand,Other Asia,1403188650
Australia and New Zealand,Other CIS (CIS11),2832313
Australia and New Zealand,Other Europe,105138489
Australia and New Zealand,Russian Federation,31842488
Australia and New Zealand,South Africa,56266663
Australia and New Zealand,South and Central America,151823722
Australia and New Zealand,United States,1180433899
Australia and New Zealand,Africa,22477828
Australia and New Zealand,Asia,1315777602
Australia and New Zealand,Australia and New Zealand,328656170
Australia and New Zealand,Brazil,11477883
Australia and New Zealand,China,393098719
Australia and New Zealand,Commonwealth of Independent States (CIS),5615471
Australia and New Zealand,Europe,479382132
Australia and New Zealand,European Union (28),387187930
Australia and New Zealand,Four East Asian traders,251332315
Australia and New Zealand,India,23046735
Australia and New Zealand,Japan,62657989
Australia and New Zealand,Mexico,3657569
Australia and New Zealand,Middle East,74550316
Australia and New Zealand,North America,314075750
Australia and New Zealand,Other Africa,6180545
Australia and New Zealand,Other Asia,256985675
Australia and New Zealand,Other CIS (CIS11),1673808
Australia and New Zealand,Other Europe,92194202
Australia and New Zealand,Russian Federation,3941663
Australia and New Zealand,South Africa,16297283
Australia and New Zealand,South and Central America,30572896
Australia and New Zealand,United States,266217476
Australia and New Zealand,Africa,73385040
Australia and New Zealand,Asia,3461618174
Australia and New Zealand,Australia and New Zealand,830271872
Australia and New Zealand,Brazil,48214319
Australia and New Zealand,China,387793724
Australia and New Zealand,Commonwealth of Independent States (CIS),29059330
Australia and New Zealand,Europe,470163192
Australia and New Zealand,European Union (28),457218905
Australia and New Zealand,Four East Asian traders,597885977
Australia and New Zealand,India,102456619
Australia and New Zealand,Japan,397007009
Australia and New Zealand,Mexico,95986693
Australia and New Zealand,Middle East,115247695
Australia and New Zealand,North America,1071275493
Australia and New Zealand,Other Africa,33415660
Australia and New Zealand,Other Asia,1146202974
Australia and New Zealand,Other CIS (CIS11),1158505
Australia and New Zealand,Other Europe,12944287
Australia and New Zealand,Russian Federation,27900825
Australia and New Zealand,South Africa,39969380
Australia and New Zealand,South and Central America,121250826
Australia and New Zealand,United States,914216424
Brazil,Africa,279195000
Brazil,Asia,1546667000
Brazil,Australia and New Zealand,54401000
Brazil,China,459262000
Brazil,Commonwealth of Independent States (CIS),25997000
Brazil,Europe,2424073000
Brazil,European Union (28),2276968000
