Source,Target,Volume
Asia,Africa,1996677754
Asia,Asia,113724052633
Asia,Australia and New Zealand,8092990149
Asia,Brazil,1333101753
Asia,China,17186247126
Asia,Commonwealth of Independent States (CIS),2160659978
Asia,Europe,72156927476
Asia,European Union (28),70489019876
Asia,Four East Asian traders,44181234875
Asia,India,6219467983
Asia,Japan,17799836711
Asia,Mexico,5537475621
Asia,Middle East,5945747165
Asia,North America,98309244317
Asia,Other Africa,999324954
Asia,Other Asia,20244275789
Asia,Other CIS (CIS11),400067852
Asia,Other Europe,1667907600
Asia,Russian Federation,1760592125
Asia,South Africa,997352800
Asia,South and Central America,3975474207
Asia,United States,89738638109
Asia,Africa,944270512
Asia,Asia,367312093420
Asia,Australia and New Zealand,1151054529
Asia,Brazil,1599620814
Asia,China,104045488555
Asia,Commonwealth of Independent States (CIS),236315881
Asia,Europe,27339419927
Asia,European Union (28),26541728790
Asia,Four East Asian traders,183265422573
Asia,India,3651183111
Asia,Japan,30946954005
Asia,Mexico,1383490090
Asia,Middle East,871654468
Asia,North America,27055733734
Asia,Other Africa,629923483
Asia,Other Asia,44251990647
Asia,Other CIS (CIS11),37127339
Asia,Other Europe,797691137
Asia,Russian Federation,199188542
Asia,South Africa,314347029
Asia,South and Central America,2645658266
Asia,United States,24909522430
Australia and New Zealand,Africa,8801473
Australia and New Zealand,Asia,1073642439
Australia and New Zealand,Australia and New Zealand,522800305
Australia and New Zealand,Brazil,1337397
Australia and New Zealand,China,146196984
Australia and New Zealand,Commonwealth of Independent States (CIS),2264889
Australia and New Zealand,Europe,78308167
Australia and New Zealand,European Union (28),76190920
Australia and New Zealand,Four East Asian traders,221082346
Australia and New Zealand,India,4729241
Australia and New Zealand,Japan,13400014
Australia and New Zealand,Mexico,1636077
Australia and New Zealand,Middle East,242336945
Australia and New Zealand,North America,139945282
Australia and New Zealand,Other Africa,4554998
Australia and New Zealand,Other Asia,165433549
Australia and New Zealand,Other CIS (CIS11),102847
Australia and New Zealand,Other Europe,2117247
Australia and New Zealand,Russian Federation,2162041
Australia and New Zealand,South Africa,4246475
Australia and New Zealand,South and Central America,4209226
Australia and New Zealand,United States,129067754
Australia and New Zealand,Africa,3572168
Australia and New Zealand,Asia,135716261
Australia and New Zealand,Australia and New Zealand,35290033
Australia and New Zealand,Brazil,1605253
Australia and New Zealand,China,23818417
Australia and New Zealand,Commonwealth of Independent States (CIS),139994
Australia and New Zealand,Europe,33397881
Australia and New Zealand,European Union (28),31475682
Australia and New Zealand,Four East Asian traders,41161031
Australia and New Zealand,India,5687625
Australia and New Zealand,Japan,2030488
Australia and New Zealand,Mexico,5664229
Australia and New Zealand,Middle East,2673137
Australia and New Zealand,North America,36756855
Australia and New Zealand,Other Africa,2075589
Australia and New Zealand,Other Asia,27728666
Australia and New Zealand,Other CIS (CIS11),42352
Australia and New Zealand,Other Europe,1922199
Australia and New Zealand,Russian Federation,97642
Australia and New Zealand,South Africa,1496579
Australia and New Zealand,South and Central America,2676030
Australia and New Zealand,United States,30134126
Brazil,Africa,1196000
Brazil,Asia,26046000
Brazil,Australia and New Zealand,316000
Brazil,China,7864000
Brazil,Commonwealth of Independent States (CIS),2000
Brazil,Europe,39372000
Brazil,European Union (28),38233000
Brazil,Four East Asian traders,12193000
Brazil,India,2534000
Brazil,Japan,165000
Brazil,Mexico,19065000
Brazil,Middle East,857000
Brazil,North America,78234000
Brazil,Other Africa,992000
Brazil,Other Asia,2974000
Brazil,Other CIS (CIS11),1000
Brazil,Other Europe,1139000
Brazil,Russian Federation,1000
Brazil,South Africa,204000
Brazil,South and Central America,88721000
Brazil,United States,58398000
Brazil,Africa,422000
Brazil,Asia,83328000
Brazil,Australia and New Zealand,18000
Brazil,China,28114000
Brazil,Commonwealth of Independent States (CIS),40000
Brazil,Europe,19290000
Brazil,European Union (28),19098000
Brazil,Four East Asian traders,21192000
Brazil,India,678000
Brazil,Japan,1239000
Brazil,Mexico,12280000
Brazil,Middle East,751000
Brazil,North America,24345000
Brazil,Other Africa,180000
Brazil,Other Asia,32087000
Brazil,Other CIS (CIS11),0
Brazil,Other Europe,192000
Brazil,Russian Federation,40000
Brazil,South Africa,242000
Brazil,South and Central America,67547000
Brazil,United States,12048000
Europe,Africa,2739280299
Europe,Asia,5598874222
Europe,Australia and New Zealand,394046419
Europe,Brazil,227792917
Europe,China,1274112557
Europe,Commonwealth of Independent States (CIS),2288305007
Europe,Europe,95594608204
Europe,European Union (28),88652040554
Europe,Four East Asian traders,2007370268
Europe,India,523158404
Europe,Japan,570386686
Europe,Mexico,311492702
Europe,Middle East,3573905654
Europe,North America,4759523104
Europe,Other Africa,1826612802
Europe,Other Asia,829799888
Europe,Other CIS (CIS11),612129676
Europe,Other Europe,6942567650
Europe,Russian Federation,1676175331
Europe,South Africa,912667497
Europe,South and Central America,665284371
Europe,United States,4195368777
Europe,Africa,800830203
Europe,Asia,12474412344
Europe,Australia and New Zealand,51794663
Europe,Brazil,199993622
Europe,China,2702488096
Europe,Commonwealth of Independent States (CIS),545864570
Europe,Europe,31239275612
Europe,European Union (28),30051257676
Europe,Four East Asian traders,4889982698
Europe,India,257741488
Europe,Japan,297390884
Europe,Mexico,416153808
Europe,Middle East,1071971421
Europe,North America,3647429510
Europe,Other Africa,591108384
Europe,Other Asia,4275014516
Europe,Other CIS (CIS11),176506312
Europe,Other Europe,1188017936
Europe,Russian Federation,369358258
Europe,South Africa,209721819
Europe,South and Central America,291169356
Europe,United States,3113658882
European Union (28),Africa,2711758000
European Union (28),Asia,5448653000
European Union (28),Australia and New Zealand,382148000
European Union (28),Brazil,216586000
European Union (28),China,1240041000
European Union (28),Commonwealth of Independent States (CIS),2253915000
European Union (28),Europe,94479783000
European Union (28),European Union (28),87601341000
European Union (28),Four East Asian traders,1953104000
European Union (28),India,513690000
European Union (28),Japan,548846000
European Union (28),Mexico,305207000
European Union (28),Middle East,3499848000
European Union (28),North America,4581287000
European Union (28),Other Africa,1805280000
European Union (28),Other Asia,810824000
European Union (28),Other CIS (CIS11),583457000
European Union (28),Other Europe,6878442000
European Union (28),Russian Federation,1670458000
European Union (28),South Africa,906478000
European Union (28),South and Central America,644389000
European Union (28),United States,4030402000
European Union (28),Africa,785688000
European Union (28),Asia,12059192000
European Union (28),Australia and New Zealand,48954000
European Union (28),Brazil,180446000
European Union (28),China,2601817000
European Union (28),Commonwealth of Independent States (CIS),532048000
European Union (28),Europe,30671825000
European Union (28),European Union (28),29502182000
European Union (28),Four East Asian traders,4725264000
European Union (28),India,230558000
European Union (28),Japan,283455000
European Union (28),Mexico,414197000
European Union (28),Middle East,1060562000
European Union (28),North America,3525023000
European Union (28),Other Africa,577437000
European Union (28),Other Asia,4169144000
European Union (28),Other CIS (CIS11),167496000
European Union (28),Other Europe,1169643000
European Union (28),Russian Federation,364552000
European Union (28),South Africa,208251000
European Union (28),South and Central America,233378000
European Union (28),United States,2996503000
Four East Asian traders,Africa,233172323
Four East Asian traders,Asia,26569855227
Four East Asian traders,Australia and New Zealand,1977419251
Four East Asian traders,Brazil,129759182
Four East Asian traders,China,8508031447
Four East Asian traders,Commonwealth of Independent States (CIS),226145428
Four East Asian traders,Europe,5754999384
Four East Asian traders,European Union (28),5547897390
Four East Asian traders,Four East Asian traders,5264811293
Four East Asian traders,India,1666422316
Four East Asian traders,Japan,2061551549
Four East Asian traders,Mexico,545820282
Four East Asian traders,Middle East,876950629
Four East Asian traders,North America,8663908709
Four East Asian traders,Other Africa,131517220
Four East Asian traders,Other Asia,7091619371
Four East Asian traders,Other CIS (CIS11),52643057
Four East Asian traders,Other Europe,207101995
Four East Asian traders,Russian Federation,173502371
Four East Asian traders,South Africa,101655103
Four East Asian traders,South and Central America,258454152
Four East Asian traders,United States,7976858273
Four East Asian traders,Africa,222253687
Four East Asian traders,Asia,203197880091
Four East Asian traders,Australia and New Zealand,166566308
Four East Asian traders,Brazil,1003739932
Four East Asian traders,China,83828157033
Four East Asian traders,Commonwealth of Independent States (CIS),105321630
Four East Asian traders,Europe,8498541231
Four East Asian traders,European Union (28),8223834963
Four East Asian traders,Four East Asian traders,77254183507
Four East Asian traders,India,1039570894
Four East Asian traders,Japan,13105148148
Four East Asian traders,Mexico,685724252
Four East Asian traders,Middle East,246384058
Four East Asian traders,North America,8022951486
Four East Asian traders,Other Africa,158465372
Four East Asian traders,Other Asia,27804254200
Four East Asian traders,Other CIS (CIS11),8554906
Four East Asian traders,Other Europe,274706268
Four East Asian traders,Russian Federation,96766724
Four East Asian traders,South Africa,63788314
Four East Asian traders,South and Central America,1046347599
Four East Asian traders,United States,7053085124
Japan,Africa,40247000
Japan,Asia,6154079000
Japan,Australia and New Zealand,231651000
Japan,Brazil,57614000
Japan,China,2243852000
Japan,Commonwealth of Independent States (CIS),13804000
Japan,Europe,3417857000
Japan,European Union (28),3379023000
Japan,Four East Asian traders,2229614000
Japan,India,71283000
Japan,Mexico,266580000
Japan,Middle East,156559000
Japan,North America,3872960000
Japan,Other Africa,22296000
Japan,Other Asia,1377679000
Japan,Other CIS (CIS11),691000
Japan,Other Europe,38834000
Japan,Russian Federation,13113000
Japan,South Africa,17951000
Japan,South and Central America,94651000
Japan,United States,3518936000
Japan,Africa,10829000
Japan,Asia,27921694000
Japan,Australia and New Zealand,19619000
Japan,Brazil,27525000
Japan,China,8213324000
Japan,Commonwealth of Independent States (CIS),9944000
Japan,Europe,1703376000
Japan,European Union (28),1656829000
Japan,Four East Asian traders,14315453000
Japan,India,157239000
Japan,Mexico,83214000
Japan,Middle East,17187000
Japan,North America,2633255000
Japan,Other Africa,3361000
Japan,Other Asia,5216059000
Japan,Other CIS (CIS11),729000
Japan,Other Europe,46547000
Japan,Russian Federation,9215000
Japan,South Africa,7468000
Japan,South and Central America,53354000
Japan,United States,2506190000
Mexico,Africa,38780000
Mexico,Asia,859799000
Mexico,Australia and New Zealand,84396000
Mexico,Brazil,97906000
Mexico,China,192421000
Mexico,Commonwealth of Independent States (CIS),4366000
Mexico,Europe,1293383000
Mexico,European Union (28),1229660000
Mexico,Four East Asian traders,359057000
Mexico,India,51543000
Mexico,Japan,120480000
Mexico,Middle East,40331000
Mexico,North America,18448714000
Mexico,Other Africa,9042000
Mexico,Other Asia,51902000
Mexico,Other CIS (CIS11),286000
Mexico,Other Europe,63723000
Mexico,Russian Federation,4080000
Mexico,South Africa,29738000
Mexico,South and Central America,355421000
Mexico,United States,18214906000
Mexico,Africa,18001000
Mexico,Asia,147620000
Mexico,Australia and New Zealand,134000
Mexico,Brazil,3351000
Mexico,China,28226000
Mexico,Commonwealth of Independent States (CIS),147000
Mexico,Europe,54915000
Mexico,European Union (28),54347000
Mexico,Four East Asian traders,100219000
Mexico,India,1436000
Mexico,Japan,2414000
Mexico,Middle East,1842000
Mexico,North America,2976049000
Mexico,Other Africa,5316000
Mexico,Other Asia,15191000
Mexico,Other CIS (CIS11),0
Mexico,Other Europe,568000
Mexico,Russian Federation,147000
Mexico,South Africa,12685000
Mexico,South and Central America,118012000
Mexico,United States,2966091000
North America,Africa,469301798
North America,Asia,9596874076
North America,Australia and New Zealand,802560540
North America,Brazil,1058985332
North America,China,2448641588
North America,Commonwealth of Independent States (CIS),228187275
North America,Europe,8575741605
North America,European Union (28),8219197806
North America,Four East Asian traders,3457548061
North America,India,446368825
North America,Japan,1091965455
North America,Mexico,16176669097
North America,Middle East,1491265171
North America,North America,44399359793
North America,Other Africa,322227762
North America,Other Asia,1349789608
North America,Other CIS (CIS11),68157490
North America,Other Europe,356543799
North America,Russian Federation,160029786
North America,South Africa,147074036
North America,South and Central America,5857420924
North America,United States,19858812091
North America,Africa,72502594
North America,Asia,26797577125
North America,Australia and New Zealand,84139854
North America,Brazil,766373011
North America,China,5793972963
North America,Commonwealth of Independent States (CIS),74491682
North America,Europe,2697993858
North America,European Union (28),2509968664
North America,Four East Asian traders,11223783237
North America,India,149694925
North America,Japan,1015831367
North America,Mexico,6947476665
North America,Middle East,1387988040
North America,North America,13000327221
North America,Other Africa,33251142
North America,Other Asia,8530154780
North America,Other CIS (CIS11),6845398
North America,Other Europe,188025195
North America,Russian Federation,67646285
North America,South Africa,39251453
North America,South and Central America,1415406691
North America,United States,4138585923
South and Central America,Africa,1968408
South and Central America,Asia,33860556
South and Central America,Australia and New Zealand,405078
South and Central America,Brazil,18064818
South and Central America,China,11383363
South and Central America,Commonwealth of Independent States (CIS),25954
South and Central America,Europe,52643758
South and Central America,European Union (28),51342476
South and Central America,Four East Asian traders,14941505
South and Central America,India,2819362
South and Central America,Japan,652325
South and Central America,Mexico,39472515
South and Central America,Middle East,2193810
South and Central America,North America,191446526
South and Central America,Other Africa,1756901
South and Central America,Other Asia,3658923
South and Central America,Other CIS (CIS11),9050
South and Central America,Other Europe,1301281
South and Central America,Russian Federation,16904
South and Central America,South Africa,211507
South and Central America,South and Central America,243683348
South and Central America,United States,148211740
South and Central America,Africa,433707
South and Central America,Asia,90413867
South and Central America,Australia and New Zealand,40190
South and Central America,Brazil,2482196
South and Central America,China,29345514
South and Central America,Commonwealth of Independent States (CIS),56209
South and Central America,Europe,28334674
South and Central America,European Union (28),28138061
South and Central America,Four East Asian traders,22281235
South and Central America,India,780317
South and Central America,Japan,1263828
South and Central America,Mexico,15200698
South and Central America,Middle East,3505238
South and Central America,North America,67205550
South and Central America,Other Africa,191133
South and Central America,Other Asia,36702782
South and Central America,Other CIS (CIS11),16114
South and Central America,Other Europe,196613
South and Central America,Russian Federation,40095
South and Central America,South Africa,242574
South and Central America,South and Central America,87328029
South and Central America,United States,49456271
United States,Africa,397398798
United States,Asia,8462618076
United States,Australia and New Zealand,687585540
United States,Brazil,949900332
United States,China,2216213588
United States,Commonwealth of Independent States (CIS),216801275
United States,Europe,6931141962
United States,European Union (28),6658702163
United States,Four East Asian traders,2986066061
United States,India,368950825
United States,Japan,928823455
United States,Mexico,16157249097
United States,Middle East,1363857171
United States,North America,24286876061
United States,Other Africa,294170762
United States,Other Asia,1274978608
United States,Other CIS (CIS11),66247490
United States,Other Europe,272439799
United States,Russian Federation,150553786
United States,South Africa,103228036
United States,South and Central America,5423722924
United States,Africa,53091594
United States,Asia,26476878125
United States,Australia and New Zealand,82581854
United States,Brazil,761333011
United States,China,5737778963
United States,Commonwealth of Independent States (CIS),71304682
United States,Europe,2559495858
United States,European Union (28),2374892664
United States,Four East Asian traders,11015344237
United States,India,146023925
United States,Japan,1006871367
United States,Mexico,6922899665
United States,Middle East,1378404040
United States,North America,8827133298
United States,Other Africa,27486142
United States,Other Asia,8488277780
United States,Other CIS (CIS11),6625398
United States,Other Europe,184603195
United States,Russian Federation,64679285
United States,South Africa,25605453
United States,South and Central America,1290696691
