Source,Target,Volume
Asia,Africa,2315726680
Asia,Asia,87828020109
Asia,Australia and New Zealand,1667315767
Asia,Brazil,2018822631
Asia,China,40368169604
Asia,Commonwealth of Independent States (CIS),1308586775
Asia,Europe,25093349376
Asia,European Union (28),23141310642
Asia,Four East Asian traders,20677271551
Asia,India,2451647747
Asia,Japan,7813292917
Asia,Mexico,5453558950
Asia,Middle East,2262474112
Asia,North America,29255728199
Asia,Other Africa,1943501627
Asia,Other Asia,14850322522
Asia,Other CIS (CIS11),401308333
Asia,Other Europe,1952038734
Asia,Russian Federation,907278442
Asia,South Africa,372225054
Asia,South and Central America,3495173243
Asia,United States,21965223091
Australia and New Zealand,Africa,38085975
Australia and New Zealand,Asia,982803752
Australia and New Zealand,Australia and New Zealand,351023304
Australia and New Zealand,Brazil,7370773
Australia and New Zealand,China,153966692
Australia and New Zealand,Commonwealth of Independent States (CIS),11975465
Australia and New Zealand,Europe,513483388
Australia and New Zealand,European Union (28),491563588
Australia and New Zealand,Four East Asian traders,158291841
Australia and New Zealand,India,32401490
Australia and New Zealand,Japan,122538033
Australia and New Zealand,Mexico,4575586
Australia and New Zealand,Middle East,56431983
Australia and New Zealand,North America,771743721
Australia and New Zealand,Other Africa,16135340
Australia and New Zealand,Other Asia,164582393
Australia and New Zealand,Other CIS (CIS11),2337107
Australia and New Zealand,Other Europe,21919800
Australia and New Zealand,Russian Federation,9638358
Australia and New Zealand,South Africa,21950635
Australia and New Zealand,South and Central America,39648389
Australia and New Zealand,United States,728975357
Brazil,Africa,30604000
Brazil,Asia,63164000
Brazil,Australia and New Zealand,1896000
Brazil,China,13395000
Brazil,Commonwealth of Independent States (CIS),869000
Brazil,Europe,108554000
Brazil,European Union (28),98498000
Brazil,Four East Asian traders,11006000
Brazil,India,10585000
Brazil,Japan,4564000
Brazil,Mexico,32996000
Brazil,Middle East,9251000
Brazil,North America,178187000
Brazil,Other Africa,18632000
Brazil,Other Asia,21718000
Brazil,Other CIS (CIS11),345000
Brazil,Other Europe,10056000
Brazil,Russian Federation,524000
Brazil,South Africa,11972000
Brazil,South and Central America,252234000
Brazil,United States,135894000
Europe,Africa,3483287619
Europe,Asia,25889940333
Europe,Australia and New Zealand,1549580881
Europe,Brazil,1333501976
Europe,China,9200384000
Europe,Commonwealth of Independent States (CIS),3509454710
Europe,Europe,75793306984
Europe,European Union (28),68522785263
Europe,Four East Asian traders,6880922995
Europe,India,1907855152
Europe,Japan,3561619057
Europe,Mexico,1215436343
Europe,Middle East,5254624113
Europe,North America,21306106513
Europe,Other Africa,2609144801
Europe,Other Asia,2789578248
Europe,Other CIS (CIS11),1121897206
Europe,Other Europe,7270521721
Europe,Russian Federation,2387557504
Europe,South Africa,874142817
Europe,South and Central America,3153146867
Europe,United States,18919752744
European Union (28),Africa,3288733000
European Union (28),Asia,23642868000
European Union (28),Australia and New Zealand,1427323000
European Union (28),Brazil,1230650000
European Union (28),China,8470210000
European Union (28),Commonwealth of Independent States (CIS),3253112000
European Union (28),Europe,70337335000
European Union (28),European Union (28),63236398000
European Union (28),Four East Asian traders,6149328000
European Union (28),India,1772213000
European Union (28),Japan,3299223000
European Union (28),Mexico,1167610000
European Union (28),Middle East,4889561000
European Union (28),North America,19296490000
European Union (28),Other Africa,2458180000
European Union (28),Other Asia,2524571000
European Union (28),Other CIS (CIS11),962564000
European Union (28),Other Europe,7100937000
European Union (28),Russian Federation,2290548000
European Union (28),South Africa,830553000
European Union (28),South and Central America,2932004000
European Union (28),United States,17038524000
Four East Asian traders,Africa,533998855
Four East Asian traders,Asia,38961834764
Four East Asian traders,Australia and New Zealand,466901974
Four East Asian traders,Brazil,421180059
Four East Asian traders,China,30912551637
Four East Asian traders,Commonwealth of Independent States (CIS),215248526
Four East Asian traders,Europe,4879683216
Four East Asian traders,European Union (28),4014749507
Four East Asian traders,Four East Asian traders,1242177258
Four East Asian traders,India,710722425
Four East Asian traders,Japan,1374654647
Four East Asian traders,Mexico,1907284506
Four East Asian traders,Middle East,690024169
Four East Asian traders,North America,6240387345
Four East Asian traders,Other Africa,494743820
Four East Asian traders,Other Asia,4254826823
Four East Asian traders,Other CIS (CIS11),84405399
Four East Asian traders,Other Europe,864933709
Four East Asian traders,Russian Federation,130843127
Four East Asian traders,South Africa,39255035
Four East Asian traders,South and Central America,658402627
Four East Asian traders,United States,4254274967
Japan,Africa,124515000
Japan,Asia,15195352000
Japan,Australia and New Zealand,120979000
Japan,Brazil,184218000
Japan,China,7474289000
Japan,Commonwealth of Independent States (CIS),101259000
Japan,Europe,3842584000
Japan,European Union (28),3726724000
Japan,Four East Asian traders,4510982000
Japan,India,358311000
Japan,Mexico,413904000
Japan,Middle East,197817000
Japan,North America,5305648000
Japan,Other Africa,59394000
Japan,Other Asia,2730791000
Japan,Other CIS (CIS11),9288000
Japan,Other Europe,115860000
Japan,Russian Federation,91971000
Japan,South Africa,65121000
Japan,South and Central America,350776000
Japan,United States,4673041000
Mexico,Africa,3216000
Mexico,Asia,231424000
Mexico,Australia and New Zealand,13591000
Mexico,Brazil,59313000
Mexico,China,94992000
Mexico,Commonwealth of Independent States (CIS),2191000
Mexico,Europe,602284000
Mexico,European Union (28),595942000
Mexico,Four East Asian traders,61931000
Mexico,India,7240000
Mexico,Japan,40341000
Mexico,Middle East,7422000
Mexico,North America,12467000000
Mexico,Other Africa,2271000
Mexico,Other Asia,13329000
Mexico,Other CIS (CIS11),300000
Mexico,Other Europe,6342000
Mexico,Russian Federation,1891000
Mexico,South Africa,945000
Mexico,South and Central America,139964000
Mexico,United States,12273033000
North America,Africa,751927240
North America,Asia,22270683962
North America,Australia and New Zealand,1574818464
North America,Brazil,1522016447
North America,China,5878669513
North America,Commonwealth of Independent States (CIS),563929353
North America,Europe,19868750946
North America,European Union (28),18728273270
North America,Four East Asian traders,7364900823
North America,India,1008248063
North America,Japan,4447931567
North America,Mexico,5785020158
North America,Middle East,2269893026
North America,North America,28078759181
North America,Other Africa,494927556
North America,Other Asia,1996115531
North America,Other CIS (CIS11),143443279
North America,Other Europe,1140477676
North America,Russian Federation,420486074
North America,South Africa,256999684
North America,South and Central America,4424276445
North America,United States,15576436491
South and Central America,Africa,34283251
South and Central America,Asia,201540480
South and Central America,Australia and New Zealand,13385220
South and Central America,Brazil,56633648
South and Central America,China,26910939
South and Central America,Commonwealth of Independent States (CIS),2222375
South and Central America,Europe,438308377
South and Central America,European Union (28),419302630
South and Central America,Four East Asian traders,39532869
South and Central America,India,25975071
South and Central America,Japan,61842988
South and Central America,Mexico,65196955
South and Central America,Middle East,18395875
South and Central America,North America,2563045402
South and Central America,Other Africa,21769710
South and Central America,Other Asia,33893393
South and Central America,Other CIS (CIS11),728934
South and Central America,Other Europe,19005747
South and Central America,Russian Federation,1493441
South and Central America,South Africa,12513541
South and Central America,South and Central America,635828927
South and Central America,United States,2465839366
United States,Africa,675450240
United States,Asia,21295158962
United States,Australia and New Zealand,1484298464
United States,Brazil,1426513447
United States,China,5571587513
United States,Commonwealth of Independent States (CIS),532877353
United States,Europe,18383833116
United States,European Union (28),17315274440
United States,Four East Asian traders,7087333823
United States,India,957524063
United States,Japan,4308652567
United States,Mexico,5709315158
United States,Middle East,2146175026
United States,North America,12229949562
United States,Other Africa,436578556
United States,Other Asia,1885762531
United States,Other CIS (CIS11),131110279
United States,Other Europe,1068558676
United States,Russian Federation,401767074
United States,South Africa,238871684
United States,South and Central America,4152437445
