Source,Target,Volume
Asia,Africa,14026102524
Asia,Asia,87978481234
Asia,Australia and New Zealand,2948525971
Asia,Brazil,2521839877
Asia,China,12377773866
Asia,Commonwealth of Independent States (CIS),4701723756
Asia,Europe,27237846682
Asia,European Union (28),23113800322
Asia,Four East Asian traders,9971231500
Asia,India,4321717220
Asia,Japan,7619661979
Asia,Mexico,2324321162
Asia,Middle East,11231505113
Asia,North America,26869605268
Asia,Other Africa,12709736105
Asia,Other Asia,50739570697
Asia,Other CIS (CIS11),2380830364
Asia,Other Europe,4124046360
Asia,Russian Federation,2320893392
Asia,South Africa,1316366420
Asia,South and Central America,8536309569
Asia,United States,22552576417
Asia,Africa,10953660071
Asia,Asia,62554652682
Asia,Australia and New Zealand,7075498710
Asia,Brazil,2728109069
Asia,China,1990542676
Asia,Commonwealth of Independent States (CIS),11463943246
Asia,Europe,82260825945
Asia,European Union (28),79223226114
Asia,Four East Asian traders,11895329979
Asia,India,1181480038
Asia,Japan,24957188934
Asia,Mexico,2071864652
Asia,Middle East,18170495446
Asia,North America,82725600262
Asia,Other Africa,8867768174
Asia,Other Asia,15454612344
Asia,Other CIS (CIS11),3606085760
Asia,Other Europe,3037599831
Asia,Russian Federation,7857857486
Asia,South Africa,2085891897
Asia,South and Central America,9677719591
Asia,United States,74554921804
Australia and New Zealand,Africa,3076329
Australia and New Zealand,Asia,333392998
Australia and New Zealand,Australia and New Zealand,212049018
Australia and New Zealand,Brazil,1855535
Australia and New Zealand,China,12876526
Australia and New Zealand,Commonwealth of Independent States (CIS),6411375
Australia and New Zealand,Europe,24089549
Australia and New Zealand,European Union (28),22888471
Australia and New Zealand,Four East Asian traders,35683856
Australia and New Zealand,India,3152472
Australia and New Zealand,Japan,3396555
Australia and New Zealand,Mexico,560214
Australia and New Zealand,Middle East,7166581
Australia and New Zealand,North America,61124288
Australia and New Zealand,Other Africa,979457
Australia and New Zealand,Other Asia,66234570
Australia and New Zealand,Other CIS (CIS11),21168
Australia and New Zealand,Other Europe,1201078
Australia and New Zealand,Russian Federation,6390207
Australia and New Zealand,South Africa,2096871
Australia and New Zealand,South and Central America,8992992
Australia and New Zealand,United States,56686256
Australia and New Zealand,Africa,4293084
Australia and New Zealand,Asia,361746514
Australia and New Zealand,Australia and New Zealand,304874999
Australia and New Zealand,Brazil,299006
Australia and New Zealand,China,3851534
Australia and New Zealand,Commonwealth of Independent States (CIS),1937601
Australia and New Zealand,Europe,27214552
Australia and New Zealand,European Union (28),26189471
Australia and New Zealand,Four East Asian traders,20410311
Australia and New Zealand,India,404646
Australia and New Zealand,Japan,3012813
Australia and New Zealand,Mexico,70896
Australia and New Zealand,Middle East,7765467
Australia and New Zealand,North America,43224963
Australia and New Zealand,Other Africa,1832609
Australia and New Zealand,Other Asia,29192211
Australia and New Zealand,Other CIS (CIS11),1702160
