Source,Target,Volume
Africa,Africa,74411409704
Africa,Asia,100508962460
Africa,Australia and New Zealand,1455388343
Africa,Brazil,7264768606
Africa,China,46798030247
Africa,Commonwealth of Independent States (CIS),1725614397
Africa,Europe,149859903919
Africa,European Union (28),133179654090
Africa,Four East Asian traders,11845311440
Africa,India,23187958680
Africa,Japan,8399722321
Africa,Mexico,573684349
Africa,Middle East,14760091750
Africa,North America,27392092702
Africa,Other Africa,56845089838
Africa,Other Asia,8822551428
Africa,Other CIS (CIS11),510450903
Africa,Other Europe,16680249829
Africa,Russian Federation,1215163494
Africa,South Africa,17566319866
Africa,South and Central America,10176744340
Africa,United States,22527992049
Asia,Africa,187247474787
Asia,Asia,2809113499569
Asia,Australia and New Zealand,146932184287
Asia,Brazil,48698042411
Asia,China,594369895230
Asia,Commonwealth of Independent States (CIS),83852957819
Asia,Europe,852907311302
Asia,European Union (28),780516612125
Asia,Four East Asian traders,798398213200
Asia,India,133728064351
Asia,Japan,356585952827
Asia,Mexico,69439614831
Asia,Middle East,266149113878
Asia,North America,1066194285432
Asia,Other Africa,155759737154
Asia,Other Asia,779099189674
Asia,Other CIS (CIS11),30199259883
Asia,Other Europe,72390699177
Asia,Russian Federation,53653697936
Asia,South Africa,31487737632
Asia,South and Central America,161818859645
Asia,United States,917758817859
Australia and New Zealand,Africa,3763396692
Australia and New Zealand,Asia,170138524396
Australia and New Zealand,Australia and New Zealand,12113079498
Australia and New Zealand,Brazil,906298409
Australia and New Zealand,China,67053612214
Australia and New Zealand,Commonwealth of Independent States (CIS),711839038
Australia and New Zealand,Europe,13953063839
Australia and New Zealand,European Union (28),12832284683
Australia and New Zealand,Four East Asian traders,28733987346
Australia and New Zealand,India,8394161862
Australia and New Zealand,Japan,31898403032
Australia and New Zealand,Mexico,662897819
Australia and New Zealand,Middle East,7832535123
Australia and New Zealand,North America,16318026010
Australia and New Zealand,Other Africa,2693873280
Australia and New Zealand,Other Asia,21945280444
Australia and New Zealand,Other CIS (CIS11),226622989
Australia and New Zealand,Other Europe,1120779156
Australia and New Zealand,Russian Federation,485216049
Australia and New Zealand,South Africa,1069523412
Australia and New Zealand,South and Central America,2430108191
Australia and New Zealand,United States,13615805773
Brazil,Africa,8195164000
Brazil,Asia,63660641000
Brazil,Australia and New Zealand,464497000
Brazil,China,35607522000
Brazil,Commonwealth of Independent States (CIS),2830786000
Brazil,Europe,38405304000
Brazil,European Union (28),33964078000
Brazil,Four East Asian traders,8850330000
Brazil,India,3617449000
Brazil,Japan,4844957000
Brazil,Mexico,3588344000
Brazil,Middle East,9910386000
Brazil,North America,30168742000
Brazil,Other Africa,6841390000
Brazil,Other Asia,10275886000
Brazil,Other CIS (CIS11),366354000
Brazil,Other Europe,4441226000
Brazil,Russian Federation,2464432000
Brazil,South Africa,1353774000
Brazil,South and Central America,35556217000
Brazil,United States,23642425000
Commonwealth of Independent States (CIS),Africa,12126786860
Commonwealth of Independent States (CIS),Asia,98734360083
Commonwealth of Independent States (CIS),Australia and New Zealand,626064451
Commonwealth of Independent States (CIS),Brazil,2556423778
Commonwealth of Independent States (CIS),China,40890320827
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS),90226626086
Commonwealth of Independent States (CIS),Europe,247090354727
